text,created_at,retweet_count,favorite_count,is_retweet,id_str
"""The Massive Trump Coronavirus Supply Effort that the Media Loves to Hate"" @RichLowry https://t.co/VChm4ELmKZ",5/19/20 16:49,2983,10068,FALSE,1.26279E+18
I am pleased to announce that the Seattle area's @SoundTransit will receive over $166M in federal funds from @USDOT to help keep the transit system open &amp; operational helping get people to work or make necessary trips. These funds help replace lost fare revenue very important!,5/19/20 16:36,3240,14078,FALSE,1.26278E+18
I am proud to announce the Portland Area's @trimet will receive over $184M in federal funds to support continued operations of their transit system. This will keep workers on the job and help the economic recovery by ensuring reliable transportation!,5/19/20 16:26,4163,18140,FALSE,1.26278E+18
I am proud to announce the San Francisco Bay Area will receive over $700M in federal funds to support continued operations and support workers at @flySFO Intl Airport and for transit on @sfmta_muni &amp; @SFBart. This money will aid in economic recovery!,5/19/20 16:25,3434,15485,FALSE,1.26278E+18
DC's @WMATA system is getting over $876M a big boost to stay open &amp; operating! The federal funds will keep workers paid &amp; buses &amp; trains running on a limited schedule as they are needed for essential trips. Good news for those who rely on transit! Congrats to @MayorBowser &amp; all!,5/19/20 16:22,3308,13383,FALSE,1.26278E+18
.@foxandfriends trounces Morning Psycho (MSDNC) in the Ratings!,5/19/20 13:29,11751,60015,FALSE,1.26274E+18
This is the letter sent to Dr. Tedros of the World Health Organization. It is self-explanatory! https://t.co/pF2kzPUpDv,5/19/20 2:55,75120,222432,FALSE,1.26258E+18
.@FoxNews is no longer the same. We miss the great Roger Ailes. You have more anti-Trump people by far than ever before. Looking for a new outlet! https://t.co/jXxsF0flUM,5/19/20 1:59,23262,80269,FALSE,1.26256E+18
https://t.co/LQvPt19b8V,5/19/20 0:33,14427,42342,FALSE,1.26254E+18
https://t.co/Lwcyq5Pgpq,5/19/20 0:26,12910,38367,FALSE,1.26254E+18
https://t.co/5CHnYYVmB1,5/19/20 0:21,12907,38472,FALSE,1.26254E+18
https://t.co/MxwXbIjDyS,5/19/20 0:15,13272,39307,FALSE,1.26254E+18
"A fantastic new book ""American Crusade"" written by a Great American Patriot @PeteHegseth — is available tomorrow! Hear more about it as he joins @SeanHannity tonight at 9:00pmE and @foxandfriends tomorrow morning at 8:30amE. Get your copy today! https://t.co/MsGVgODwVU",5/18/20 23:41,9140,35374,FALSE,1.26253E+18
Today we commemorate the 100th Anniversary of the birth of Saint John Paul II. HAPPY BIRTHDAY! https://t.co/v7y0r1oSDh,5/18/20 22:40,21907,123016,FALSE,1.26251E+18
OIL (ENERGY) IS BACK!!!!,5/18/20 15:01,37927,206694,FALSE,1.2624E+18
LOSER! https://t.co/p5imhMJqS1,5/18/20 14:55,32295,135445,FALSE,1.2624E+18
Sleepy Joe  is wrong again! https://t.co/BffAhzSDdi,5/18/20 14:45,15650,53249,FALSE,1.26239E+18
